SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
B7033,Ft,-48.5857,-17.8732,-24.9483,-47.9819987,-16.20372355,-25.67910384
B7033,Ex,-32.8506,-39.073,-4.64672,-31.26418123,-39.90738659,-4.839665265
B7033,En,-1.8702,-41.5131,6.72617,-2.156072036,-39.98482676,7.294835418
B7033,Al,-2.01364,-76.1334,8.99093,-4.277855451,-75.35988941,8.087189821
B7033,Sbal,4.8022,-80.5824,14.9951,4.695437027,-80.23790016,14.16802201
B7033,Ch,-9.81344,-105.27,-2.70603,-8.982874203,-105.9571739,-4.135160066
B7033,Prn,14.045,-71.7567,36.1423,14.045,-71.7567,36.1423
C1283,Ft,-52.9472,32.7917,59.675,-54.02778946,31.75070542,58.66806832
C1283,Ex,-41.7148,9.0298,70.9815,-42.87071841,7.579275063,69.639829
C1283,En,-9.11296,2.26624,79.7847,-9.983252326,2.606772755,79.71560761
C1283,Al,-12.8158,-35.1942,82.6167,-13.42978394,-36.35833191,81.19236742
C1283,Sbal,-5.79943,-37.2124,91.8349,-6.073833509,-38.27058508,92.23015671
C1283,Ch,-21.7337,-66.4604,72.6997,-23.15350878,-68.73994659,72.01559779
C1283,Prn,9.20631,-30.5919,107.045,9.20631,-30.5919,107.045
D8328,Ft,-75.6983,76.6618,29.9686,-74.100792,77.1845533,29.49969169
D8328,Ex,-55.7733,57.4841,63.042,-56.52557865,58.24539549,62.50303413
D8328,En,-26.9345,54.4301,70.8953,-24.7991957,54.50668071,70.7957632
D8328,Al,-31.6887,19.8963,75.0772,-32.15966243,20.93160387,75.84830122
D8328,Sbal,-24.1067,12.5102,85.1886,-22.60120237,12.91400779,83.51086753
D8328,Ch,-39.1276,-4.98627,69.2569,-37.50301217,-5.284581329,69.38601844
D8328,Prn,-13.2494,22.3954,105.568,-13.2494,22.3954,105.568
E4996,Ft,-64.847,71.0033,23.6246,-64.08871302,71.77897901,22.43914801
E4996,Ex,-42.2486,50.6254,54.212,-41.39029629,50.74379764,53.9815119
E4996,En,-11.732,47.9788,60.2211,-12.1379432,47.14293822,60.41980564
E4996,Al,-14.3787,9.88242,60.631,-14.64914867,11.77691702,60.36717702
E4996,Sbal,-6.90597,5.82739,66.8334,-5.461013821,5.65479215,66.48485563
E4996,Ch,-26.6848,-16.5611,52.5556,-26.79640317,-15.15471644,52.86120501
E4996,Prn,3.12405,13.7161,83.1514,3.12405,13.7161,83.1514
F7831,Ft,-80.7328,101.7,-138.494,-81.73156325,103.2452215,-137.6571091
F7831,Ex,-67.5611,74.0734,-119.735,-67.70920897,74.27732484,-119.6324022
F7831,En,-38.128,75.0989,-110.16,-38.67644818,76.01840934,-109.3230581
F7831,Al,-36.8439,30.8086,-114.83,-37.37917613,31.59345145,-113.4227943
F7831,Sbal,-29.4821,25.725,-113.672,-29.12595933,27.20522096,-114.1942295
F7831,Ch,-42.0906,-0.587505,-124.106,-43.72719714,-1.498440148,-122.6586687
F7831,Prn,-18.8722,37.9978,-90.5786,-18.8722,37.9978,-90.5786
G3259,Ft,-66.2981,106.713,-3.5512,-65.67431481,106.1558627,-5.157877009
G3259,Ex,-48.1452,85.3686,29.0389,-48.18400885,88.01916063,28.77444841
G3259,En,-20.0839,81.564,35.9689,-20.02971579,81.13647181,34.67004097
G3259,Al,-24.039,41.7575,38.4344,-22.48925746,43.31759019,39.50402898
G3259,Sbal,-19.3362,40.4652,44.6618,-19.31689512,41.24594026,44.65002467
G3259,Ch,-30.6512,19.4981,28.2578,-28.42459114,19.11636521,27.9121316
G3259,Prn,-8.09563,46.6646,65.6721,-8.09563,46.6646,65.6721
H1178,Ft,-37.5053,43.3932,67.6954,-36.87707482,43.42040468,68.86672253
H1178,Ex,-21.4749,18.753,90.7823,-22.40129794,16.87941061,91.30618259
H1178,En,7.63192,15.3377,99.4446,6.217169686,15.13601634,99.95575445
H1178,Al,7.24098,-23.6693,102.476,8.935817045,-22.41490791,102.8976181
H1178,Sbal,14.724,-26.255,106.04,14.71767724,-26.8350944,105.9548892
H1178,Ch,-2.73778,-48.2619,93.6638,-4.09916555,-47.95907208,93.39054299
H1178,Prn,25.621,-16.6761,126.885,25.621,-16.6761,126.885
I0951,Ex,-40.5669,28.3045,70.7335,-40.7881566,28.06659577,70.58845825
I0951,En,-10.7313,22.1806,0,-9.573677727,22.02846881,76.3606499
I0951,Al,-13.7035,-1061.1474,80.155,-14.3992133,-15.93400836,78.77376712
