OY,MZ,MY,OZ,Landmark,OX,MX,SubjID
-17.8732,-25.67910384,-16.20372355,-24.9483,Ft,-48.5857,-47.9819987,
-39.073,-4.839665265,-39.90738659,-4.64672,Ex,-32.8506,-31.26418123,B7033
-41.5131,7.294835418,-39.98482676,6.72617,En,-1.8702,-2.156072036,B7033
-76.1334,8.087189821,-75.35988941,8.99093,Al,-2.01364,-4.277855451,B7033
-80.5824,14.16802201,-80.23790016,14.9951,Sbal,4.8022,4.695437027,B7033
-105.27,-4.135160066,-105.9571739,-2.70603,Ch,-9.81344,-8.982874203,B7033
-71.7567,36.1423,-71.7567,36.1423,Prn,14.045,14.045,B7033
32.7917,58.66806832,31.75070542,59.675,,-52.9472,-54.02778946,C1283
9.0298,69.639829,7.579275063,70.9815,Ex,-41.7148,-42.87071841,C1283
2.26624,79.71560761,2.606772755,79.7847,En,-9.11296,-9.983252326,C1283
,,,,,,,
-35.1942,81.19236742,-36.35833191,82.6167,Al,-12.8158,-13.42978394,C1283
-37.2124,92.23015671,-38.27058508,91.8349,Sbal,-5.79943,-6.073833509,C1283
-66.4604,72.01559779,-68.73994659,72.6997,Ch,-21.7337,-23.15350878,C1283
-30.5919,107.045,-30.5919,107.045,Prn,9.20631,9.20631,C1283
,,,,,,,
76.6618,29.49969169,77.1845533,29.9686,Ft,,-74.100792,D8328
57.4841,62.50303413,58.24539549,63.042,Ex,-55.7733,-56.52557865,D8328
54.4301,70.7957632,54.50668071,70.8953,En,-26.9345,-24.7991957,D8328
19.8963,75.84830122,20.93160387,75.0772,Al,-31.6887,-32.15966243,D8328
12.5102,83.51086753,12.91400779,85.1886,Sbal,-24.1067,-22.60120237,D8328
-4.98627,69.38601844,-5.284581329,69.2569,Ch,-39.1276,-37.50301217,D8328
22.3954,105.568,22.3954,105.568,Prn,-13.2494,-13.2494,D8328
71.0033,22.43914801,71.77897901,23.6246,Ft,-64.847,-64.08871302,E4996
,53.9815119,50.74379764,54.212,Ex,-42.2486,-41.39029629,E4996
47.9788,60.41980564,47.14293822,60.2211,En,-11.732,-12.1379432,E4996
9.88242,60.36717702,11.77691702,60.631,Al,-14.3787,-14.64914867,E4996
5.82739,66.48485563,5.65479215,66.8334,Sbal,-6.90597,-5.461013821,E4996
-16.5611,52.86120501,-15.15471644,52.5556,Ch,-26.6848,-26.79640317,E4996
13.7161,83.1514,13.7161,83.1514,Prn,3.12405,3.12405,E4996
101.7,-137.6571091,103.2452215,-138.494,Ft,-80.7328,-81.73156325,F7831
74.0734,-119.6324022,74.27732484,-119.735,Ex,-67.5611,-67.70920897,F7831
75.0989,-109.3230581,76.01840934,,En,-38.128,-38.67644818,F7831
30.8086,-113.4227943,31.59345145,-114.83,Al,-36.8439,-37.37917613,F7831
25.725,-114.1942295,27.20522096,-113.672,Sbal,-29.4821,-29.12595933,F7831
-0.587505,-122.6586687,-1.498440148,-124.106,Ch,-42.0906,-43.72719714,F7831
37.9978,-90.5786,37.9978,-90.5786,Prn,-18.8722,-18.8722,F7831
106.713,-5.157877009,106.1558627,-3.5512,Ft,-66.2981,-65.67431481,G3259
85.3686,28.77444841,88.01916063,29.0389,Ex,-48.1452,-48.18400885,G3259
81.564,34.67004097,81.13647181,35.9689,En,-20.0839,-20.02971579,G3259
41.7575,39.50402898,43.31759019,38.4344,Al,-24.039,,G3259
40.4652,44.65002467,41.24594026,44.6618,Sbal,-19.3362,-19.31689512,G3259
19.4981,27.9121316,19.11636521,28.2578,Ch,-30.6512,-28.42459114,G3259
46.6646,65.6721,46.6646,65.6721,Prn,-8.09563,-8.09563,G3259
43.3932,68.86672253,43.42040468,67.6954,Ft,-37.5053,-36.87707482,H1178
18.753,91.30618259,16.87941061,90.7823,Ex,-21.4749,-22.40129794,H1178
15.3377,99.95575445,15.13601634,99.4446,En,7.63192,6.217169686,H1178
-23.6693,102.8976181,-22.41490791,102.476,Al,7.24098,8.935817045,H1178
-26.255,105.9548892,-26.8350944,106.04,Sbal,14.724,14.71767724,H1178
-48.2619,93.39054299,-47.95907208,93.6638,Ch,-2.73778,-4.09916555,H1178
-16.6761,126.885,-16.6761,126.885,,25.621,25.621,H1178
28.3045,70.58845825,28.06659577,70.7335,Ex,-40.5669,-40.7881566,I0951
22.1806,76.3606499,22.02846881,0,En,-10.7313,-9.573677727,I0951
-1061.1474,78.77376712,-15.93400836,80.155,Al,-13.7035,-14.3992133,I0951
-22.6964,86.69965533,-22.86857027,85.6605,Sbal,-6.15882,-5.580344282,I0951
-40.2836,67.00159994,-40.27476611,68.4581,Ch,-24.3873,-24.49757246,I0951
-14.6688,106.992,-14.6688,106.992,Prn,2.37189,2.37189,I0951
54.3767,33.32475829,52.73038722,34.9359,Ft,-57.6479,-56.98386076,J6687
31.5634,62.80278871,33.01439687,62.1693,Ex,-37.4473,-37.19447879,J6687
27.8654,67.94161049,28.14295418,68.9262,En,-8.95721,-7.717262538,J6687
-11.8446,72.99910833,-11.76726748,73.5369,Al,-7.77409,-8.730571821,J6687
,,,,,,,dsgf
-12.879,79.90266272,-13.35912171,79.8321,Sbal,-3.49036,-2.927335301,J6687
-31.6192,66.65477678,-31.05419463,68.3067,Ch,-17.5901,-16.75259668,J6687
-7.7646,99.3899,-7.7646,99.3899,Prn,7.59526,7.59526,J6687
91.8086,46.77078554,90.77263222,48.1449,Ft,-49.7622,-50.69365527,K6431
